"","X","agency_cd","site_no","measurement_nu","measurement_dt","tz_cd","q_meas_used_fg","party_nm","site_visit_coll_agency_cd","gage_height_va","discharge_va","current_rating_nu","shift_adj_va","diff_from_rating_pc","measured_rating_diff","gage_va_change","gage_va_time","control_type_cd","discharge_cd","chan_nu","chan_name","meas_type","streamflow_method","velocity_method","chan_discharge","chan_width","chan_area","chan_velocity","chan_stability","chan_material","chan_evenness","long_vel_desc","horz_vel_desc","vert_vel_desc","chan_loc_cd","chan_loc_dist","river_name","SLOPE","LatSite","LonSite","area","width","velocity","slope","depth","n"
"265455",660226,"USGS",2060500,"659","2013-11-05 11:43:15","EST","Yes","KMD","USGS",3.42,747,"22.0",-0.07,-0.1,"GOOD",-0.01,0.25,"CLER","MEAS",1,"1","BRDS","QADCP","VADCP",747,196,883,0.84,"FIRM","SAND","EVEN","STDY","EVEN","UNKN","DNST",1000,"roanoke r",0.00060628,37.10458716,-79.2953015,82.033349,59.78,0.2562,0.00060628,1.37225408163265,0.118680814002824
"179676",398511,"USGS",6610000,"3987","1989-10-10 08:45:00","CDT","Yes","RLK/ASJ","USGS",16.42,32300," 5.0",0.1,0,"GOOD",0,2.25,"CLER","MEAS",1,"Unspecified","CRAN","QUNSP","",32300,720,9090,3.55,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"missouri r",0.00006841,41.25888735,-95.9225138,844.48827,219.6,1.08275,0.00006841,3.845575,0.0187501952000973
"72887",94828,"USGS",1434000,"1046","1997-08-28 10:27:00","EST","Yes","gjh","USGS",2.22,1440,"",NA,NA,"Fair",-0.03,1.6,"Clear","MEAS",1,"Imported Channel 1","CRAN","unspe","unkno",1440,606,1480,0.97,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"delaware r",0.00111488,41.37055556,-74.6975,137.49644,184.83,0.29585,0.00111488,0.743907590759076,0.0926591863290675
"229461",2653116,"USGS",8396500,"1264","1990-03-06 14:20:00","MST","Yes","TOD","USGS",2.48,44,"20.0",-0.08,-0.3,"GOOD",0,0.4,"","MEAS",1,"Unspecified","WADE","QUNSP","",44,56,45.5,0.967,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"pecos r",0.00006303,32.8408611,-104.3238333,4.2270865,17.08,0.294935,0.00006303,0.2474875,0.010610833973547
"356646",2101190,"USGS",10259540,"539","2002-06-04 09:15:00","PDT","Yes","KLS","USGS",5.94,73.3,"16.0",-0.86,-2.1,"FAIR",-0.01,0.5,"HVDB","MEAS",1,"Unspecified","WADE","QUNSP","",73.3,63,62.9,1.17,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"whitewater r",0.00147448,33.52474915,-116.0775023,5.8435987,19.215,0.35685,0.00147448,0.304116507936508,0.0486624240190496
"264294",512084,"USGS",2056000,"50","1941-07-14","","Yes","c","USGS",3.46,676,"",NA,NA,"FAIR",NA,NA,"","MEAS",1,"","UNSP","QSCMM","",676,70,538,1.26,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"roanoke r",0.00270105,37.2551384,-79.87142539,49.981814,21.35,0.3843,0.00270105,2.34106857142857,0.238436104103997
"204735",907127,"USGS",6465000,"880","1965-10-15 10:10:00","CST","Yes","kc / gj","USGS",7.45,1190,"",NA,NA,"UNSP",NA,NA,"CLER","MEAS",1,"Unspecified","CWAY","QUNSP","",1190,265,511,2.33,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"niobrara r",0.00166049,42.81194425,-98.6517525,47.473433,80.825,0.71065,0.00166049,0.587360754716981,0.0402160107830863
"31239",39745,"USGS",6883000,"396","1967-03-22","","Yes","Kubicek","USGS",3.18,66.5,"",NA,NA,"FAIR",0,NA,"","UNSP",1,"","WADE","QSCMM","",66.5,34,36.7,1.81,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"blue r",0.00158441,40.3325,-98.0669444,3.4095401,10.37,0.55205,0.00158441,0.328788823529412,0.0343478905743713
"240518",551831,"USGS",6768025,"52","2013-09-11 12:01:00","CDT","Yes","rmb","USGS",2.44,0.98," 4.0",-0.12,5.4,"FAIR",0,1,"MAMD","MEAS",1,"main","WADE","QSCMM","VADV",0.98,10,2.18,0.45,"SOFT","SAND","EVEN","STDY","EVEN","UNKN","UPST",100,"platte r",0.00099371,40.67888889,-99.4891667,0.20252854,3.05,0.13725,0.00099371,0.0664028,0.037662435890434
"115367",157423,"USGS",5543500,"305","1986-06-03","","Yes","JJD/CB","USGS",3.52,12900," 7.0",0,1.4,"GOOD",-0.11,1.5,"CLER","MEAS",1,"Unspecified","BOAT","QUNSP","",12900,623,2610,4.95,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"illinois r",0.00148629,41.32697786,-88.7175739,242.47683,190.015,1.50975,0.00148629,1.27609309791332,0.0300424245685041
"11243",9448,"USGS",7152500,"1114","1994-03-29 16:00:00","CST","Yes","LDM","USGS",3.3,1240,"",NA,NA,"Good",-0.1,1,"Clear","MEAS",1,"Imported Channel 1","CRAN","unspe","unkno",1240,441,659,1.88,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"arkansas r",0.00075115,36.50421677,-96.7283672,61.223077,134.505,0.5734,0.00075115,0.455173242630385,0.0282828690840835
"163143",142752,"USGS",5200445,"14","1973-09-19 10:00:00","CDT","Yes","PBG","USGS",11.19,320,"",NA,NA,"Good",0.01,0.8,"","MEAS",1,"Imported Channel 1","WADE","unspe","unkno",320,64,212,1.51,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"mississippi r",0.00029275,47.45106367,-94.9066681,19.695436,19.52,0.46055,0.00029275,1.0089875,0.0373733638680756
"224267",303489,"USGS",8386000,"136B","1940-05-07","","Yes","Irby","USGS",2.29,30.6,"",NA,NA,"GOOD",NA,NA,"UNSP","MEAS",1,"","UNSP","QSCMM","",30.6,39,24,1.28,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"pecos r",0.00066681,33.57185556,-104.3736028,2.229672,11.895,0.3904,0.00066681,0.187446153846154,0.0216641805065116
"201638",516266,"USGS",3168000,"515","1997-10-14 10:10:00","EDT","Yes","DWA","USGS",1.19,901," 4.0",0,-1.4,"GOOD",0,1,"CLER","MEAS",1,"Unspecified","CWAY","QUNSP","",901,452,2250,0.4,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"new r",0.00446022,36.93762235,-80.7456257,209.03175,137.86,0.122,0.00446022,1.5162610619469,0.722494088337704
"353667",482960,"USGS",10132000,"592","1993-04-27 09:20:00","MDT","Yes","DLC","USGS",2.4,198," 2.0",0.05,2.06,"FAIR",0,1,"CLER","MEAS",1,"Unspecified","WADE","QUNSP","",198,68,150,1.35,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"weber r",0.01586138,40.9677245,-111.437699,13.93545,20.74,0.41175,0.01586138,0.671911764705882,0.234645217723684
"89989",261402,"USGS",2392000,"291","1956-07-09 08:45:00","EST","Yes","AJB","USGS",3.61,1090,"",0.15,0,"GOOD",0.02,0.9,"CLER","MEAS",1,"Unspecified","CRAN","QUNSP","",1090,115,480,2.27,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"etowah r",0.00003099,34.23992866,-84.4946733,44.59344,35.075,0.69235,0.00003099,1.27137391304348,0.00943627572313888
"171869",1191117,"USGS",6330000,"1191","1948-04-19","","Yes","MACK","USGS",6.04,25100,"",NA,NA,"GOOD",NA,NA,"","MEAS",1,"","UNSP","QSCMM","",25100,1078,9900,2.54,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"missouri r",0.00003363,48.1080792,-103.7146446,919.7397,328.79,0.7747,0.00003363,2.79734693877551,0.014861435679374
"293290",613342,"USGS",11133000,"1548","2007-11-15 10:25:00","PST","Yes","MEM","USGS",3.43,6.48,"28.1",-0.22,-1.1,"FAIR",0,0.42,"","MEAS",1,"Unspecified","WADE","QSCMM","VADV",6.48,32.6,17.6,0.37,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"santa ynez r",0.00152076,34.63609474,-120.424606,1.6350928,9.943,0.11285,0.00152076,0.164446625766871,0.103723880195186
"329740",433514,"USGS",2083500,"433","1978-11-07 13:20:00","EST","Yes","RJA","USGS",2.09,286," 8.0",0,-2.4,"GOOD",0,0.92,"","MEAS",1,"Unspecified","WADE","QUNSP","",286,179,304,0.94,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"tar r",0.00029411,35.89444444,-77.5330556,28.242512,54.595,0.2867,0.00029411,0.517309497206704,0.0385473183351852
"116707",687108,"USGS",5451500,"686","1977-01-11 13:25:00","CST","Yes","MIL","USGS",8.17,12.4,"",0,NA,"FAIR",0.01,0.4,"CICE","MEAS",1,"Unspecified","WADE","QUNSP","",12.4,71,20.2,0.61,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"iowa r",0.0008857,42.06582096,-92.9076997,1.8766406,21.655,0.18605,0.0008857,0.0866608450704225,0.0313253256473602
"133665",681090,"USGS",3290500,"67","1943-05-12 13:15:00","EDT","Yes","Ges","USGS",11.3,13700,"",NA,NA,"Good",NA,NA,"","MEAS",1,"Imported Channel 1","CRAN","unspe","unkno",13700,285,4890,2.8,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"kentucky r",0.01481481,38.43895654,-84.9632844,454.29567,86.925,0.854,0.01481481,5.2262947368421,0.42922608231765
"224591",630213,"USGS",8386000,"430","1943-11-09","","Yes","Reiland","USGS",3.35,46.8,"",NA,NA,"GOOD",NA,NA,"","MEAS",1,"","UNSP","QSCMM","",46.8,44,38.8,1.21,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"pecos r",0.00066681,33.57185556,-104.3736028,3.6046364,13.42,0.36905,0.00066681,0.268601818181818,0.0291287472952787
"191488",355413,"USGS",6818000,"3551","2006-05-08 10:30:00","CDT","Yes","JBW/RDN","USGS",9.44,42900,"",NA,NA,"Fair",NA,NA,"Clear","MEAS",1,"Imported Channel 1","UNSP","QADCP","VADCP",42900,797,11100,3.86,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"missouri r",0.00020116,39.75325,-94.8568333,1031.2233,243.085,1.1773,0.00020116,4.24223337515684,0.0315703967944391
"99739",82654,"USGS",3439000,"825","2013-09-03 13:15:12","EDT","Yes","BAH","USGS",2.69,306,"19.0",0.07,-0.3,"GOOD",NA,NA,"CLER","MEAS",1,"main","BRDS","QADCP","VADCP",306,77.5,225,1.36,"FIRM","GRVL","UNEV","STDY","EVEN","UNKN","DNST",100,"french broad r",0.00224637,35.1433333,-82.8247222,20.903175,23.6375,0.4148,0.00224637,0.884322580645161,0.105271070822444
"295094",323627,"USGS",1350000,"353","1951-09-17","","Yes","x","USGS",1.38,215,"",NA,NA,"Unspecified",NA,NA,"Unspecifed","UNSP",1,"Imported Channel 1","UNSP","QSCMM","VPAA",215,160,167,1.29,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"schoharie creek",0.00025818,42.31944444,-74.4366667,15.514801,48.8,0.39345,0.00025818,0.31792625,0.0190234525833964
"113212",543177,"USGS",2301990,"566","2010-06-22 12:35:00","EDT","Yes","TEM","USGS",52.32,21,"",NA,NA,"Fair",-0.01,1,"DebrisHeavy","UNSP",1,"Imported Channel 1","WADE","QSCMM","VADV",21,35,79.5,0.27,"SOFT","silt","UNEV","unkn","UNEV","UNSP","DNST",200,"hillsborough r",0.00102755,28.18555556,-82.1841667,7.3857885,10.675,0.08235,0.00102755,0.691877142857143,0.304502269488125
"166758",179914,"USGS",7010000,"1801","1965-04-15","","Yes","GLG/MC","USGS",28.4,515000,"",NA,NA,"Good",0.05,2.5,"Clear","MEAS",1,"Imported Channel 1","CRAN","unspe","unkno",515000,1730,74600,6.9,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"mississippi r",0.00002474,38.629,-90.1797778,6930.5638,527.65,2.1045,0.00002474,13.134774566474,0.0131572764488759
"174916",808116,"USGS",6336000,"801","1971-02-16","","Yes","L","USGS",4.64,393,"",NA,NA,"UNSP",NA,NA,"CICE","MEAS",1,"","UNSP","QSCMM","",393,221,328,1.2,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"missouri r",0.0008371,46.91945839,-103.5282426,30.472184,67.405,0.366,0.0008371,0.452076018099548,0.0465638160535338
"77893",91735,"USGS",5488500,"917","2000-04-05 10:35:00","CDT","Yes","JCM","USGS",2.6,822,"16.0",-0.08,5.45,"FAIR",0,1,"CLER","MEAS",1,"Unspecified","WADE","QUNSP","",822,411,479,1.72,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"des moines r",0.00018062,41.28139069,-92.861504,44.500537,125.355,0.5246,0.00018062,0.354996107055961,0.0128441004404191
"309689",2431053,"USGS",13081500,"1416","2000-07-05 11:34:00","MDT","Yes","MAN","USGS",7.97,10700,"",NA,NA,"Good",0.01,1.8,"Clear","MEAS",1,"Imported Channel 1","CWAY","unspe","unkno",10700,480,3760,2.85,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"snake r",0.00098323,42.67277778,-113.5002778,349.31528,146.4,0.86925,0.00098323,2.38603333333333,0.0644120614991987
"164931",491575,"USGS",5288500,"238","1953-06-10","","Yes","AND","USGS",6.94,18900,"",NA,NA,"Good",NA,NA,"","MEAS",1,"Imported Channel 1","UNSP","QSCMM","unkno",18900,630,6250,3.02,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"mississippi r",0.00302575,45.1266318,-93.2968947,580.64375,192.15,0.9211,0.00302575,3.0218253968254,0.124821476817474
"92783",230260,"USGS",2352500,"229","1947-02-24","","Yes","LRM","USGS",4.82,3210,"",0,-4.2,"GOOD",-0.04,1.2,"CLER","MEAS",1,"Unspecified","CRAN","QUNSP","",3210,113,2320,1.38,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"flint r",0.00011154,31.59416667,-84.1441667,215.53496,34.465,0.4209,0.00011154,6.25373451327434,0.0851718383703951
"9997",25228,"USGS",7143330,"594","2013-05-06 13:49:00","CDT","Yes","DCM","USGS",2.71,110,"0050",-0.12,0,"FAIR",0,0.5,"LGDB","MEAS",1,"MAIN","WADE","QSCMM","VADV",110,87,73.3,1.51,"SOFT","SAND","UNEV","STDY","UNEV","NSTD","DNST",80,"arkansas r",0.00092426,37.94640028,-97.7750488,6.8097899,26.535,0.46055,0.00092426,0.256634252873563,0.0266581519914164
"348505",1251479,"USGS",3322900,"269","1994-05-09 12:00:00","EST","Yes","CRK","USGS",4.25,146,"",NA,NA,"Good",0,0.5,"Clear","MEAS",1,"Imported Channel 1","WADE","unspe","unkno",146,96,112,1.32,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"wabash r",0.00031125,40.65615729,-85.0327466,10.405136,29.28,0.4026,0.00031125,0.355366666666667,0.0219852817301395
"321854",462762,"USGS",1498620,"45","2011-01-18 11:41:30","EST","Yes","JPM","USGS",2.34,657,"",NA,NA,"Good",-0.01,0.7,"IceShore","UNSP",1,"Imported Channel 1","WADE","QSCMM","VPAA",657,139,261,2.51,"FIRM","BLDR","UNEV","unkn","EVEN","UNSP","DNST",600,"susquehanna r",0.0017687,42.44,-75.1,24.247683,42.395,0.76555,0.0017687,0.571946762589928,0.0378521539539625
"185877",5312101,"USGS",6807000,"5335","1990-03-22 10:00:00","CST","Yes","ASJ","USGS",4.21,15700," 7.0",-0.53,0,"GOOD",-0.02,1.5,"CLER","UNSP",1,"Unspecified","CRAN","QUNSP","",15700,630,4980,3.15,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"missouri r",0.00018533,40.681946,-95.846946,462.65694,192.15,0.96075,0.00018533,2.40779047619048,0.0254551072547545
"360531",514004,"USGS",6259000,"417","1983-06-06","","Yes","GAL/RCB","USGS",6.05,2110,"",NA,NA,"Fair",-0.03,2.3,"","MEAS",1,"Imported Channel 1","CWAY","unspe","unkno",2110,185,793,2.66,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"wind r",0.02601307,43.4249575,-108.1789858,73.672079,56.425,0.8113,0.02601307,1.30566378378378,0.237484480586342
"32011",51358,"USGS",6893100,"4","2004-01-15 10:45:00","CST","Yes","PJF","USGS",5.6,12,"0001",0,0,"FAIR",0,0.42,"CLER","MEAS",1,"Unspecified","WADE","QUNSP","",12,30,17,0.7,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"blue r",0.00091509,38.8422222,-94.6122222,1.579351,9.15,0.2135,0.00091509,0.172606666666667,0.0439243896825897
"100827",82076,"USGS",4227500,"306","1940-04-03","","Yes","X","USGS",21.76,15200,"",NA,NA,"Unspecified",NA,NA,"","MEAS",1,"Imported Channel 1","UNSP","QSCMM","unkno",15200,183,3360,4.52,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"genesee r",0.00075702,42.76666667,-77.83888889,312.15408,55.815,1.3786,0.00075702,5.59265573770492,0.0628821613101459
"158128",1311113,"USGS",14163900,"130","2014-06-19 14:13:54","PDT","Yes","JDS/jaf","USGS",3.15,3420,"",NA,NA,"Fair",-0.01,0.8,"Clear","MEAS",1,"1","CWAY","QSCMM","VADCP",3420,193,925,3.69,"FIRM","CBLS","EVEN","unkn","EVEN","STND","DNST",120,"mckenzie r",0.00111062,44.0698492,-122.7711874,85.935275,58.865,1.12545,0.00111062,1.45987046632124,0.0381065315619176
"79861",351225,"USGS",9165000,"527","1988-01-14 13:55:00","MST","Yes","DWG/JDB","USGS",NA,20.1,"12.0",NA,NA,"FAIR",NA,NA,"CICE","MEAS",1,"Unspecified","WADE","QUNSP","",20.1,44,21.1,0.95,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"dolores r",0.01515291,37.63888428,-108.0603517,1.9602533,13.42,0.28975,0.01515291,0.146069545454545,0.117832302057273
"366807",317006,"USGS",13141000,"674","1987-01-28","","Yes","TSB","USGS",3.83,50.6,"",NA,NA,"Good",0,0.3,"Clear","MEAS",1,"Imported Channel 1","WADE","unspe","unkno",50.6,51,49.9,1.01,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"wood r",0.0007391,43.32805556,-114.3416667,4.6358597,15.555,0.30805,0.0007391,0.298030196078431,0.0393765111212406
"46091",71636,"USGS",6904500,"716","1985-04-25","","Yes","MCM","USGS",1.23,133,"",NA,NA,"Fair",0,0.5,"Clear","MEAS",1,"Imported Channel 1","WADE","unspe","unkno",133,75,115,1.16,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"chariton r",0.00060528,40.2343333,-92.6863889,10.683845,22.875,0.3538,0.00060528,0.467053333333333,0.0418598804850512
"991",1935,"USGS",3011020,"192","1984-05-08","","Yes","DDD","USGS",5.06,3840,"",NA,NA,"Good",0.05,1.1,"Clear","MEAS",1,"Imported Channel 1","CRAN","unspe","unkno",3840,355,1800,2.13,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"allegheny r",0.00089228,42.15638889,-78.7152778,167.2254,108.275,0.64965,0.00089228,1.54445070422535,0.0614356565548475
"102340",430155,"USGS",9430500,"1731","1993-07-14 10:30:00","MDT","Yes","LM /SW","USGS",1.11,35.7,"33.0",0,0,"GOOD",0,0.5,"CLER","MEAS",1,"Unspecified","WADE","QUNSP","",35.7,46,54.3,0.66,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"gila r",0.00368694,33.06150278,-108.5373861,5.0446329,14.03,0.2013,0.00368694,0.359560434782609,0.152523650608039
"99299.1",371313,"USGS",3439000,"370","1961-03-02 10:30:00","EST","Yes","HDM","USGS",2.79,352,"",0,NA,"GOOD",0,0.66,"CLER","MEAS",1,"Unspecified","WADE","QUNSP","",352,75,174,2.02,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"french broad r",0.00224637,35.1433333,-82.8247222,16.165122,22.875,0.6161,0.00224637,0.706672,0.0610334648953874
"307895",246859,"USGS",13057155,"239","2016-11-02 10:22:14","MDT","Yes","BVK/JEB","USGS",7.23,4900,"",NA,NA,"Good",0,0.3,"VegetationLight","MEAS",1,"main","CWAY","QADCP","VADCP",4900,404,3300,1.49,"FIRM","BLDR","EVEN","unkn","EVEN","STND","DNST",5280,"snake r",0.00085245,43.6047222,-112.058611,306.5799,123.22,0.45445,0.00085245,2.48806930693069,0.117965948950358
"272508",1311465,"USGS",11463980,"154","2005-09-14 15:15:00","PDT","Yes","MDW","USGS",7.7,191,"16.0",-0.05,NA,"GOOD",0,0.5,"","MEAS",1,"Unspecified","WADE","QUNSP","",191,90,123,1.55,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"russian r",0.00139076,38.6329653,-122.8555494,11.427069,27.45,0.47275,0.00139076,0.416286666666667,0.0439801013144196
"92947",398148,"USGS",2352500,"397","1971-07-29 10:35:00","EDT","Yes","GRS","USGS",4.78,3590," 6.0",0,3.5,"GOOD",0,1.3,"CLER","MEAS",1,"Unspecified","CRAN","QUNSP","",3590,158,2030,1.78,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"flint r",0.00011154,31.59416667,-84.1441667,188.59309,48.19,0.5429,0.00011154,3.91353164556962,0.0483104828758545
"250092",150906,"USGS",1638500,"138","1943-04-28 16:05:00","EST","Yes","EJK","USGS",4.27,14300,"17.0",0,5.1,"FAIR",-0.06,3.2,"CLER","MEAS",1,"Unspecified","CRAN","QUNSP","",14300,1010,5670,2.52,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"potomac r",0.0074468,39.2735833,-77.5431111,526.76001,308.05,0.7686,0.0074468,1.70998217821782,0.160550694167525
"125754",122564,"USGS",4105500,"671","2000-11-08 10:55:00","EST","Yes","GL","USGS",3.39,474,"20.0",0.02,1.3,"GOOD",-0.01,0.42,"CLER","MEAS",1,"Unspecified","WADE","QUNSP","",474,134,208,2.28,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"kalamazoo r",0.00146745,42.32392989,-85.1974929,19.323824,40.87,0.6954,0.00146745,0.472811940298507,0.0334327879413951
"199254",1711136,"USGS",2087500,"170","1944-01-03 14:35:00","EDT","Yes","FED","USGS",3.85,1640,"",0,NA,"GOOD",0.18,1.2,"","MEAS",1,"Unspecified","CRAN","QUNSP","",1640,147,751,2.18,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"neuse r",0.00057459,35.6472222,-78.4052778,69.770153,44.835,0.6649,0.00057459,1.5561537414966,0.0484125211336946
"236739",285537,"USGS",6711565,"312","2011-07-07 10:55:00","MDT","Yes","GJS/SLH","USGS",2.73,685," 7.0",0,-2.8,"GOOD",0.08,0.87,"CLER","MEAS",1,"","WADE","QSCMM","VPAA",685,122,251,2.73,"FIRM","LDGE","EVEN","STDY","EVEN","STND","UPST",5,"platte r",0.0009923,39.66498738,-105.004149,23.318653,37.21,0.83265,0.0009923,0.626677049180328,0.0277047904190322
"115241",291565,"USGS",1358000,"28","1950-11-27","","Yes","X","USGS",19.36,27300,"",NA,NA,"Unspecified",NA,NA,"Unspecifed","UNSP",1,"Imported Channel 1","UNSP","QSCMM","VPAA",27300,1060,13000,2.62,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"hudson r",0.00200406,42.7522222,-73.68888889,1207.739,323.3,0.7991,0.00200406,3.73566037735849,0.134875319542529
"307871",2221230,"USGS",13057155,"215","2014-03-05 10:52:30","MST","Yes","JWJ/JEB","USGS",6.04,2790,"",NA,NA,"Good",0,0.3,"IceShore","MEAS",1,"main","CWAY","QADCP","VADCP",2790,404,2970,0.94,"FIRM","CBLS","EVEN","unkn","EVEN","STND","DNST",5280,"snake r",0.00085245,43.6047222,-112.058611,275.92191,123.22,0.2867,0.00085245,2.23926237623762,0.174305096952009
"84330",444138,"USGS",3578000,"444","2001-11-07 10:15:00","CST","Yes","DEL","USGS",2.58,14.1,"",NA,NA,"Good",0,0.8,"DebrisHeavy","MEAS",1,"Imported Channel 1","WADE","unspe","unkno",14.1,32,54,0.26,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"elk r",0.00089078,35.29679918,-85.8697528,5.016762,9.76,0.0793,0.00089078,0.5140125,0.241505946393807
"44562",67285,"USGS",6903900,"66","1960-11-03 15:50:00","CST","Yes","CHS","USGS",10.34,841," 2.0",0,-2.7,"GOOD",-0.08,1.7,"LGDB","MEAS",1,"Unspecified","CRAN","QUNSP","",841,60,421,2,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"chariton r",0.00113725,40.82187224,-92.8912543,39.112163,18.3,0.61,0.00113725,2.13727666666667,0.091728713111527
"209871",133065,"USGS",7239000,"1306","1981-10-08","","Yes","DLB","USGS",0.93,9.65,"",NA,NA,"Good",0,0.5,"","MEAS",1,"Imported Channel 1","WADE","unspe","unkno",9.65,24,10,0.96,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"north canadian r",0.00069437,36.07698408,-98.59675,0.92903,7.32,0.2928,0.00069437,0.126916666666667,0.0227284685406644
"319429",329624,"USGS",7039500,"789","1955-07-29","","Yes","SP","USGS",-3.78,209,"",NA,NA,"Unspecified",NA,NA,"Unspecifed","MEAS",1,"Imported Channel 1","UNSP","QSCMM","unkno",209,116,224,0.93,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"st. francis r",0.00079186,36.9281111,-90.2652778,20.810272,35.38,0.28365,0.00079186,0.588193103448276,0.0696446938512937
"158158",142686,"USGS",14164900,"13","2008-10-24 16:37:00","PDT","Yes","DAM/GDL","USGS",53.56,3570,"",NA,NA,"Fair",-0.02,0.7,"","MEAS",1,"Channel 1","MBOT","QSCMM","VADCP",3570,330,1450,2.46,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"mckenzie r",0.00204559,44.0712365,-122.9645273,134.70935,100.65,0.7503,0.00204559,1.33839393939394,0.0732088621867675
"208309",303447,"USGS",1600000,"301","1967-12-07 13:20:00","EST","Yes","JEA","USGS",3.64,944,"",NA,NA,"FAIR",0.05,1.83,"CLER","MEAS",1,"Unspecified","CRAN","QUNSP","",944,175,404,2.34,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"north branch potomac r",0.00352413,39.56680556,-78.8395556,37.532812,53.375,0.7137,0.00352413,0.703190857142857,0.0657747299652305
"14378",19196,"USGS",10092700,"18","1974-05-09 06:35:00","MDT","Yes","GCA","USGS",5.64,2510,"",0,NA,"GOOD",0,1,"CLER","MEAS",1,"Unspecified","CWAY","QUNSP","",2510,129,863,2.91,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"bear r",0.00017797,42.0129808,-111.92134,80.175289,39.345,0.88755,0.00017797,2.0377503875969,0.024159126518386
"18409",15369,"USGS",13127000,"698","1996-01-11 14:24:00","MST","Yes","NDJ","USGS",1.7,102,"",NA,NA,"Fair",0,0.5,"Clear","MEAS",1,"Imported Channel 1","WADE","unspe","unkno",102,78,79.4,1.28,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"big lost r",0.00416622,43.93916667,-113.6483333,7.3764982,23.79,0.3904,0.00416622,0.310067179487179,0.0757411375048699
